Start (s);End (s);Scientific name;Common name;Confidence
15.0;18.0;Junco hyemalis;Dark-eyed Junco;0.63864714
19.5;22.5;Poecile atricapillus;Black-capped Chickadee;0.28910682
21.0;24.0;Junco hyemalis;Dark-eyed Junco;0.2813258
21.0;24.0;Pipilo maculatus;Spotted Towhee;0.26970756
22.5;25.5;Junco hyemalis;Dark-eyed Junco;0.36897075
25.5;28.5;Poecile atricapillus;Black-capped Chickadee;0.36192033
28.5;31.5;Junco hyemalis;Dark-eyed Junco;0.54385275
34.5;37.5;Junco hyemalis;Dark-eyed Junco;0.6392924
43.5;46.5;Junco hyemalis;Dark-eyed Junco;0.395477
45.0;48.0;Junco hyemalis;Dark-eyed Junco;0.35142577
49.5;52.5;Junco hyemalis;Dark-eyed Junco;0.36010146
51.0;54.0;Junco hyemalis;Dark-eyed Junco;0.3235896
54.0;57.0;Junco hyemalis;Dark-eyed Junco;0.61683154
55.5;58.5;Junco hyemalis;Dark-eyed Junco;0.30236518
61.5;64.5;Junco hyemalis;Dark-eyed Junco;0.5145074
63.0;66.0;Junco hyemalis;Dark-eyed Junco;0.55427563
66.0;69.0;Poecile atricapillus;Black-capped Chickadee;0.7129054
67.5;70.5;Junco hyemalis;Dark-eyed Junco;0.4047741
69.0;72.0;Junco hyemalis;Dark-eyed Junco;0.70841223
70.5;73.5;Junco hyemalis;Dark-eyed Junco;0.25039598
